Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Litrals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[3, 12, 14, -13, -8, -4], [4, 14, -13, -8, -6], [-6, -9], [4, 6, 9, -13, -11, -8, -5, -3, -2], [-12, -4, 14], [-7, 6]]","[[2, 3, 6, 8, 11, 13, -12, -10, -1], [4, 6, 8, 10, 11, -13, -9, -5, -1], [1, 2, 10, -14, -7, -4, -3], [9, -14, -6], [8, -5, 7], [-14, -13, -12, -11], [13, 3, 4, 5], [2, 9, 10, 12, -1], [4, 6, 10, -12, -3, -2], [1, 4, 10, 12, -13, -7, -2], [1, 3, 5, 7, 14], [3, -8, -5, -4, -1], [4, 5, -12, -8, -6, -1], [1, 10, 11, -14, -6, -4], [3, 4, 12, -14, -2], [9, 12, -11, -7, -4], [2, 3, 5, -13, -12, -11, -9], [2, -12, -10, -6, -3, -1], [-4, -3, -1, 7], [-13, 5, 8, 12, -3], [1, 6, 11, 13, -14, -10, -9, -2], [1, -14, -12, -10, -6, -5, -3, -2], [9, 11, 13], [-8, 6, 7], [1, 2, 4, 12, -11, -10, -7, -5]]",0.984130859375,0.33270263671875,0.984130859375,0.984130859375,0.984130859375,0.9868692552991934,0.32537841796875,T+,T+,T+,0.9788878596920649,0.8297148163398841,437.7299903477852,3530.6193835732493,194,206,194,206
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[-2], [-4]]","[[6, 8, 9, 11, -14, -12, -7, -5, -3], [4, 6, 8, 10, 11, -13, -9, -5, -1], [1, 8, 10, 11, 12, -14, -13, -9, -6, -3], [2, 11, 5, -10], [3, 4, 14, -9], [2, -14, -3, -1], [5, 6, 8, 12, -13, -1], [4, 10, -12, -11, -9, -5, -3], [7, 10, 11, 12, -13, -6, -1], [1, 3, 4, -14, -8], [2, 3, 8, 13, -12, -10], [1, 4, 5, 8, -14, -9, -7, -6], [2, 5, 7, 10, 13, 14, -11, -8], [2, 6, 11, 14, -13, -12, -9, -3], [2, 5, 6, 9, -14, -13, -11], [4, 7, -10, -6, -1], [2, 4]]",1.0,0.15423583984375,1.0,1.0,1.0,1.0,0.15423583984375,T+,T+,T+,0.9933254316391834,0.8873355576248038,138.38761497136198,2335.9358432691733,104,296,104,296
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[-8], [9]]","[[3, 4, 6, 11, 14, -12, -10, -9, -7, -5, -1], [1, 3, 6, 12, -14, -13, -11, -10, -9, -7, -4, -2], [1, 2, 10, -14, -7, -4, -3], [8, -9], [2, 5, 6, -10, -4], [1, 5, 13, 14, -12, -11], [6, 7, -13, -10, -4, -3], [4, 6, 8, 10, -11, -5, -1], [5, 8, 11, 12, -13, -6], [7, 11, 12, -10, -9], [2, 8, 13, -10, -1], [4, 10, -13, -9, -6], [2, 3, -13, -12, -11, -9, -4, -1], [2, 11, 14, -13, -12, -9, -7, -3], [1, 8, 11, 13, -12]]",1.0,0.12249755859375,1.0,1.0,1.0,1.0,0.12249755859375,T+,T+,T+,0.9986519255060471,0.9389349818622066,27.950393783825064,1266.095687607627,123,277,123,277
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[14, -9], [8]]","[[1, 2, 10, -14, -7, -4, -3], [-8, -14, -12], [-8, 3, -4, 12], [-8, 12, -3], [2, -12, -11, -10, -3], [-8, 2, 3], [-14, -5, 13, -10], [2, 5, 9, 11, -6, -3], [7, 9, 10, 14, -13, -12], [2, 5, 6, -13, -8], [3, 9, 10, -6, -1], [1, 3, 12, -14, -10], [2, -13, -11, -4, -1], [4, -14, -13, -7, -6, -3], [4, 6, 9, -11, -8, -5], [4, 7, 14, -12, -8], [6, 7, 8, 11, -13, -12, -10, -4, -3, -1], [-8, 5, -2]]",0.9979248046875,0.23516845703125,0.9979248046875,0.9979248046875,0.9979248046875,1.0,0.23309326171875,T+,T+,T+,0.9901091294961512,0.8815934912262668,205.073033194731,2454.9893656760546,177,223,177,223
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[4, 5, 7, 11, 13, 14, -12, -8, -6, -1], [10, -11, -2], [-4]]","[[1, 7, -14, -12, -10, -8, -6, -5, -3, -2], [2, 4, -11], [-8, 9, -14, 4], [11, -6, -13, -3], [-5, -12, -3, 6], [1, 12, 6, -2], [5, -12, -7, -6, -2], [13, -14, -10, -7, -5], [2, 9, 10, 11, -6, -5, -1], [6, 8, 12, -13, -7, -1], [-14, 4, -3, -9], [1, 2, 6, 9, -11, -10, -7], [2, 5, 10, 13, 14, -8], [9, 12, 13, -10, -2], [1, 3, 5, 8, -11, -10, -6, -2], [-13, -9, 7, 10, 14], [2, 5, 6, -1], [3, -12, -10, -5, 8, 11, 13], [4, -10], [11, 4]]",0.99609375,0.2293701171875,0.99609375,0.99609375,0.99609375,0.997843665768194,0.2264404296875,T+,T+,T+,0.995946146330134,0.8618027254714763,84.0508495064729,2865.322547270331,189,211,189,211
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[8, -6, -5, 13], [-8, 1, 5, 14], [13, -9, -8, -7, -5, -2], [2, -6, 4, -3], [7, 12, 13, 14, -8, -5], [1, 2, 3, 4, 5, 13], [-8, 9]]","[[-13, 6, -9], [8, 5, -10], [10, 3, -4], [8, 1, -7, -2], [-5, 7, -10, -2], [-11, 5, -7], [-8, 10, 5, 7], [3, 4, 14, -5], [-5, -12, -3, 6], [5, -14, -7, -6, -4], [-3, -13, -12, 5], [1, 5, 7, 12, -14, -2], [3, 6, 7, -8, -4], [8, 11, 3, -1], [2, 3, -13, -12, -9, -4], [4, -14, -9, -6, -2], [8, 9], [1, 2, -14, -8, -7, -4], [8, 10, -3], [-8, -10, -9], [-6, 12, 7], [-13, 4, -12, -1, 9, 14]]",0.9119873046875,0.3197021484375,0.3197021484375,0.9119873046875,0.9119873046875,0.8472374679839004,0.3336181640625,T-,T+,T+,0.9474649361567083,0.7980316628826941,1089.239302772217,4187.524190699349,284,116,284,116
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[5, 6, 10, -13, -11, -7, -1], [2], [9]]","[[4, 7, 14, -13, -12, -10, -8, -6, -1], [1, 7, -14, -12, -10, -8, -6, -5, -3, -2], [3, 5, 10, 14, -12, -11, -7, -4], [-10, 7, 6, -2], [4, 6, 10, -12, -11, -3, -1], [5, -12, -11, -10, -9, -6], [1, 3, 6, -11, -8], [8, 12, -13, -9, -7], [5, 10, -1, -8, -6, -2], [5, -13, -7, -6, -2], [3, 7, 10, 14, -9], [7, 8, 13, -14, -11, -9, -3], [7, -13, -8, -6, -4, -3], [3, 4, 6, 11, 14], [10, 11, -9, -5, -1], [-9, 4, -10, 7, 8, 13, -1], [10, -6, 11, 12], [-2, -9]]",0.9912109375,0.21392822265625,0.9912109375,0.9912109375,0.9912109375,0.9929598122616603,0.20806884765625,T+,T+,T+,0.9939748536057689,0.8931339450497738,124.92278066187089,2215.7145850478605,135,265,135,265
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[3, 6, 8, -13, -1]]","[[-4, 5, 14], [-11, 5, -7, 9], [11, -2], [2], [-9], [-8], [-5]]",0.998291015625,0.043212890625,0.043212890625,0.998291015625,0.998291015625,1.0,0.04150390625,T-,T+,T+,0.9982442748686398,0.97647838032158,36.40244587209676,487.68709399535936,392,8,392,8
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[12, -6, -4, 13], [-8, -12, -2, -1], [4, 7, 12, -10, -6, -3], [11, 13, -2], [-10, -1], [13, -9], [10, 3]]","[[10, -14, -3], [1, 5, -10], [2, 14, -12, -11, -4], [10, -13, 12, 5], [9, -12, 13, -10], [7, 8, 9, 12, 14, -5], [4, 8, 14, -13, -9], [4, 6, -11, -10, -8], [4, 6, -12, -5, -2], [9, 10, 11, -6, -3], [4, 5, -14, -13, -8, -2], [8, 11, -13, -9, -5], [3, 9, 12, -10, -2], [1, 4, 9, -14, -12, -8, -5], [-8, 10, -3, 7], [-14, -5, -12, -3], [4, 8, 12, -9, -6, -3], [1, 6, -14, -11, -4, -2], [7, -8, -6, 11, 12, -4, -1], [-7, -13, -3]]",0.962646484375,0.362548828125,0.962646484375,0.962646484375,0.962646484375,0.9426719840478565,0.3673095703125,T+,T+,T+,0.9644590276772518,0.8178687220417006,736.8911557460749,3776.2311816747356,167,233,167,233
